state,area,pincode
Assam,Borpathar,786613
Assam,Borshala,787023
Assam,Budhbazar,787031
Assam,Bulakata,787057
Assam,Buri Khowang,785675
Assam,Burisuti,787110
Assam,Cementmukh,787059
Assam,Central Revenue Building,786003
Assam,Chaboti,787051
Assam,Chabua Air Field,786102
Assam,Chabua,786184
Assam,Chaharikata,785676
Assam,Charaimoria,787032
Assam,Chaulkhowa,786004
Assam,Chenibill Chungipathar,786103
Assam,Chetia Gaon,786184
Assam,Chiringhula,786010
Assam,Chowkidingee,786003
Assam,Dafalakata,787052
Assam,Dangopara Chariali,786611
Assam,Daulatpur,787054
Assam,Dejoo Te,787031
Assam,Dekapam,787061
Assam,Demow Chariali,787059
Assam,Deotala,787033
Assam,Desam,786610
Assam,Deuliagaon,787053
Assam,Deuribarbam,787026
Assam,Deurigaon,786007
Assam,Dhakuakhana,787055
Assam,Dhalpur,784165
Assam,Dhamalgaon,786004
Assam,Dhaman,786610
Assam,Dharmagarh Sevashram,784165
Assam,Dharmapur,784160
Assam,Dhemaji,787057
Assam,Dhemechi,785675
Assam,Dhenukhana,787053
Assam,Dhuapathar,786611
Assam,Dhubabari,787058
Assam,Dhunaguri,787054
Assam,Dhunaguri Borgaya Deori Gaon,787110
Assam,Dibru Amguri,786610
Assam,Dibrugarh,786001
Assam,Dibrugarh Polytechnic,786010
Assam,Dibrugarh University,786004
Assam,Dighali Debera,787058
Assam,Dighalia,786101
Assam,Dighalia Hiloidhari,787055
Assam,Dighaliagaon,786007
Assam,Dihing Hola,786101
Assam,Dihing Kinar,786610
Assam,Dihingia Gaon,785675
Assam,Dikari Morang Gaon,785675
Assam,Dikhari Kinar Gaon,785675
Assam,Dikom,786101
Assam,Dikrong,784164
Assam,Diksam Ouphulia,786613
Assam,Dillibari,786103
Assam,Dinjoy,786184
Assam,Dipa,787061
Assam,Dirai Te,786611
Assam,Dirgha Majgaon,787032
Assam,Domur Dolong,786613
Assam,Dongibill,784161
Assam,Doolahat,787023
Assam,Duliajan,786602
Assam,Duliapthar,784164
Assam,Durpang,787033
Assam,Echarikata Balijan,787052
Assam,Erameshlow Gaon,785676
Assam,Fakialgaon,786610
Assam,Fukhanarhat,787052
Assam,Fulbari Bokanadi,787023
Assam,Ga Dangar Chuk,787053
Assam,Gabharu Tunijan,784160
Assam,Gali Borbali,787060
Assam,Gandhia Tiniali,787058
Assam,Garbandhi Bamunpukhuri,786613
Assam,Garchiga,787052
Assam,Garguri,786612
Assam,Garpara,786101
Assam,Garpthar,786613
Assam,Garudharia,786007
Assam,Gereki,787032
Assam,Gerukamukh,787035
Assam,Gharmora,787032
Assam,Ghatapara,787053
Assam,Ghilamara,787053
Assam,Ghinai,786621
Assam,Ghughuhadal,787053
Assam,Ghuguloni Ahumgaon,785675
Assam,Ghunasuti,787032
Assam,Goalchapori,787057
Assam,Gobindapur,787055
Assam,Gogamukh,787034
Assam,Gohaingaon,787057
Assam,Gohaingaon,786007
Assam,Gojpuria,786610
Assam,Goroimari,787032
Assam,Goroimari Gaon,785676
Assam,Gorumoria,787032
Assam,Gosaibari,787033
Assam,Gozpuria,785675
Assam,Graham Bazar,786001
Assam,Guttung,787057
Assam,Haladhibari,785676
Assam,Hamarathan,784161
Assam,Hapotia,787058
Assam,Harabari,786012
Assam,Harak Pathar,786003
Assam,Haribor Naharoni,784160
Assam,Harmoti Merbil,784160
Assam,Hatiali Siding,786184
Assam,Hatibondha,786103
Assam,Hatigarh,787057
Assam,Hatilung,787031
Assam,Hatkhula,786010
Assam,Hazelbank,786101
Assam,Hiloidhari,786002
Assam,Hindugaon,787032
Assam,Hollowdanga,787026
Assam,Islamgaon,787054
Assam,Itakhuli,786007
Assam,Jagoloni Grant,786004
Assam,Jairampur,787026
Assam,Jalan Nagar,786005
Assam,Jalbhari,787055
Assam,Jaloni Dibruduar,786602
Assam,Jamirah,786004
Assam,Jamuguri Panchali,787057
Assam,Janakalyan Chariali,787110
Assam,Japisajia,787031
Assam,Japjup,784161
Assam,Jeypore Mobile,786614
Assam,Jeypore,786614
Assam,Jiadhal,787057
Assam,Jokai,786003
Assam,Jokai Bongaon,786003
Assam,Jonai,787060
Assam,Jorabari,784164
Assam,Joriguri,784160
Assam,Jorkata,787058
Assam,Joyhing Te,787051
Assam,Joysagar,787055
Assam,Jugisuti,787058
Assam,Kabu Chapori,787060
Assam,Kachari Pathar,786602
Assam,Kachari Pathar,787058
Assam,Kachikota Mirideurigaon,784161
Assam,Kachua,784165
Assam,Kadam,787032
Assam,Kadamguri,787034
Assam,Kadamoni,786001
Assam,Kaitung,787058
Assam,Kakoi Rajgarh,787051
Assam,Kalakata,787058
Assam,Kalakhowa Adarsha Gaon,787023
Assam,Kalakhowa Chariali,786007
Assam,Kaligaon,787053
Assam,Kamalpur,784164
Assam,Kamalpur Chariali,784165
Assam,Kamargaon,786614
Assam,Kambong Gaon,787052
Assam,Kamini Tea Estate,786191
Assam,Kankan Chapori,787055
Assam,Kasulugaon,786612
Assam,Kathalguri,785675
Assam,Kathalguri,786602
Assam,Katri Chapori,787056
Assam,Kaupatani,787034
Assam,Kekuri,787055
Assam,Kekuri Pamuagaon,787055
Assam,Kekuri Sonowal,786613
Assam,Kendriya Vidyalaya,786602
Assam,Kenduguri Te,786611
Assam,Kerekani Majgaon,787110
Assam,Kerekjuli,787033
Assam,Khajuapatir,787055
Assam,Khaliamari,786001
Assam,Khaliamari Pamuagaon,787058
Assam,Khalihamari,787053
Assam,Khamti Ghat,786003
Assam,Khania Gaon,786003
Assam,Kharkati,787052
Assam,Khelmati,787031
Assam,Kherkatamukh,787055
Assam,Khoga,787052
Assam,Khonajan,787031
Assam,Khorachukgaon,787034
Assam,Khowang Chariali,785676
Assam,Khowang Ghat,785676
Assam,Khowang,785675
Assam,Khubalia,787057
Assam,Kinapathar,784164
Assam,Koliapani,786610
Assam,Kolowlowa,785676
Assam,Konwar Handique Gaon,786008
Assam,Konwargaon,787032
Assam,Konwarigaon,786610
Assam,Konwaripathar,786010
Assam,Kotoha,785676
Assam,Kowadonga,787031
Assam,Krisipam Nigam,785675
Assam,Kuhiarbari,787052
Assam,Kuksabari,784165
Assam,Kulajan Tiniali,787110
Assam,Kumar Gaon,786008
Assam,Kutubpur,787054
Assam,Lachit Nagar,786611
Assam,Laguaborah,787053
Assam,Lahoal,786010
Assam,Laholial,784161
Assam,Laimekuri,787060
Assam,Lakhanabari,784160
Assam,Lakhipathar,787057
Assam,Lalmati Gaon,786007
Assam,Laluk,784160
Assam,Leku,787060
Assam,Lengeri Bazar,786613
Assam,Lengrai,786103
Assam,Lepetkata,786006
Assam,Letekupukhuri,787033
Assam,Lezai,786007
Assam,Likhakchapori,787054
Assam,Lilabari AF,787051
Assam,Lilapur,786602
Assam,Lotakigaon,787034
Assam,Lukumai,785675
Assam,Machkhowa,787058
Assam,Madhavpur,784164
Assam,Madhupur,787033
Assam,Madhuripathar,787059
Assam,Mahaijan,787032
Assam,Mahkhowa,786611
Assam,Mahmora Ali Kinar,786621
Assam,Mahmora,786101
Assam,Majbam Chariali,785675
Assam,Majorbari Budhbaria Bazar,787059
Assam,Mancotta,786003
Assam,Manikachuk,787055
Assam,Mathawani,786610
Assam,Matiakhana,786184
Assam,Matikhola,787057
Assam,Mechaki Tongani Mirigaon,787110
Assam,Medela,786007
Assam,Medhisutigaon,787055
Assam,Melengial Gaon,786010
Assam,Meramukh,784164
Assam,Merbil,784160
Assam,Mingmang,787035
Assam,Missamari,787026
Assam,Moderguri,787055
Assam,Moderkhat,786101
Assam,Mohanaghat,786008
Assam,Mohanbari Air Field,786012
Assam,Mohemari,787055
Assam,Moidumia,787032
Assam,Moinapara,787034
Assam,Moitri Ashram,787051
Assam,Morichapathar,784161
Assam,Moridhal,787057
Assam,Mornoi Bebejia,787055
Assam,Mornoikhora,787054
Assam,Muktiar Chapori,787110
Assam,Na Ali Mirigaon,787052
Assam,Na Deoghoria,786103
Assam,Na Nadi Bhebeli Kahcari Gaon,787034
Assam,Nachani,786613
Assam,Nadua,786101
Assam,Naga Ghuli Kanaigaon,786012
Assam,Nagajan,786191
Assam,Nagakhelia,787057
Assam,Nagargaon,785676
Assam,Nahahpara Barbil,786613
Assam,Naharkatia,786610
Assam,Nahazhar,785675
Assam,Nakhat Sonowal Gaon,785676
Assam,Nalbari Kachari,787035
Assam,Naliapool,786001
Assam,Namgharia,787110
Assam,Namrup,786621
Assam,Namrup Thermal Power Station,786622
Assam,Naoboicha,787023
Assam,Naoholia,786191
Assam,Naragaon,787052
Assam,Nemupathar,786613
Assam,Nemutengani,787058
Assam,Neogaghuli,787055
Assam,Nigam,786621
Assam,Nilakh Chariali,787110
Assam,Nilmoni Te,786612
Assam,Nirmaligaon,786003
Assam,Niz Bhekulajan,786103
Assam,Norowathan,787058
Assam,North Lakhimpur Bazar,787031
Assam,North Lakhimpur,787001
Assam,Oakland,786101
Assam,Ouguri,786612
Assam,Ouguri Dangdhara,787055
Assam,Ouphulia Chariali,786613
Assam,Padmapur,784164
Assam,Padumoni Gaon No 1,785676
Assam,Pakharijania,786184
Assam,Palengi Pachali,787110
Assam,Pan Dhua Tiniali,786103
Assam,Panbari,784164
Assam,Panchali,786001
Assam,Panigaon,787052
Assam,Parbatpur,786623
Assam,Pathalibam,785675
Assam,Pathalipahar,784163
Assam,Pathalipam,787056
Assam,Patrichuk,787055
Assam,Perabari,787057
Assam,Phukanarkhat,786101
Assam,Pipalguri,787110
Assam,Pithaguti,786611
Assam,Pithguri,784163
Assam,Pohumara,787031
Assam,Pokadal,784161
Assam,Pukia,787110
Assam,Puli Naharani,784165
Assam,Pulunga,786184
Assam,Purana Parghat,787053
Assam,Purnananda Road,786003
Assam,Puthahula,786010
Assam,Raidongia,784164
Assam,Raiting,787057
Assam,Raja Ali,786602
Assam,Raja Bheta,786008
Assam,Rajabari,784161
Assam,Rajgarh Dibrugarh,786611
Assam,Ramdhan Dikhari,787060
Assam,Rampur Deurigaon,787031
Assam,Ramyapur,787110
Assam,Rang Changi,786184
Assam,Rangalipathar,786610
Assam,Rangati Charali,784165
Assam,Rangchali,785675
Assam,Ratanpur,786003
Assam,Ratanpur,786612
Assam,Ratanpur,787060
Assam,Romai Te,786010
Assam,Rongajan Borbil,787051
Assam,Rongpuria,787032
Assam,Ruptali Adarshagaon,784165
Assam,Sagarpur,787023
Assam,Salmari,786610
Assam,Salmari No 2,787026
Assam,Salmora Tiniali,787052
Assam,Samarajan Tiniali,787026
Assam,Sandowkhowa,787054
Assam,Santipara,786001
Assam,Sarbodaya,786010
Assam,Sasoni,786610
Assam,Sechowapukhuri,785675
Assam,Sessa,786003
Assam,Sessughat,785676
Assam,Seujiapathar,787058
Assam,Silabaligaon,787059
Assam,Silapathar,787059
Assam,Silgrant,786621
Assam,Silonibari,787031
Assam,Silputa,785676
Assam,Simaluguri,784165
Assam,Simen Chapori,787061
Assam,Singra,787023
Assam,Sissiborgaon,787110
Assam,Sissimukh,787058
Assam,Sisumari Barpathar,786612
Assam,Sologuri,786613
Assam,Somkong Pagar,787061
Assam,Sonapur,784160
Assam,Sonapur,787054
Assam,Sonardheki,787052
Assam,Subahi,787057
Assam,Subansiri Koibarta Adarsha Gao,787056
Assam,Sundia,787055
Assam,Talem,787061
Assam,Tarajan,785675
Assam,Tariani Berbhanga,787032
Assam,Tengakhat,786103
Assam,Thengal,785675
Assam,Tiloinagar,785675
Assam,Timonagaon,786010
Assam,Tingkhong Dighalia,786008
Assam,Tingkhong,786612
Assam,Tingrai Chariali,786602
Assam,Tiniali Tea Estate,786610
Assam,Tinthengia,785675
Assam,Tipam,786614
Assam,Tipling Bhadoi Gaon,786610
Assam,Ukhamati,787056
Assam,Ushapur,786614
Assam,Uttar Kulabali,787032
Assam,Zonekareng,787060
Assam,Zutlibari,786191
Assam,Ahatguri,782412
Assam,Aibheti,782002
Assam,Akorabori,782123
Assam,Alikuchi,782103
Assam,Alitangani,782124
Assam,Ambagan,782120
Assam,Ambari,782445
Assam,Amguri,782136
Assam,Amguri,782410
Assam,Amlakhi,782122
Assam,Amlakhi Bazar,782461
Assam,Amlighat,782410
Assam,Amolapatty,782003
Assam,Amoni,782138
Assam,Amonigaon,782481
Assam,Amrang,782448
Assam,Amsoi Bazar,782425
Assam,Amtola,782435
Assam,Amtreng,782450
Assam,Anjukpani,782139
Assam,Anneria,782446
Assam,Azarbari,782105
Assam,Azarbari Krishna Nagar,782442
Assam,Bagamukh,782120
Assam,Bagari,782136
Assam,Bagariguri,782103
Assam,Baghara,782105
Assam,Baghmari,782462
Assam,Baghpani,782441
Assam,Baithalangsho,782450
Assam,Bajbatamari,782425
Assam,Bajiagaon,782140
Assam,Bakalighat,782482
Assam,Baligaon,782144
Assam,Baligaon Tiniali,782481
Assam,Balikatia,782122
Assam,Balipathar,782470
Assam,Balisatra,782122
Assam,Bamunbori,782103
Assam,Bamuni,782102
Assam,Bamunijan,782425
Assam,Bangaldhara,782412
Assam,Bangalpara,782105
Assam,Baralimari,782121
Assam,Barangani,782127
Assam,Barangatoli,782141
Assam,Barangatoli Bazar,782445
Assam,Barapatia,782428
Assam,Barapujia,782103
Assam,Barbhagia,782138
Assam,Barbori,782127
Assam,Barchala,782103
Assam,Barchila,782142
Assam,Bargaon,782425
Assam,Barghat,782125
Assam,Barhampur,782102
Assam,Barhawar,782439
Assam,Baribandha,782127
Assam,Barjuri,782139
Assam,Barkuloi,782411
Assam,Barlongpher,782447
Assam,Barmanipur,782142
Assam,Barpak,782411
Assam,Barpani,782450
Assam,Barpanigaon,782141
Assam,Batadraba,782122
Assam,Batamari,782122
Assam,Bebejia,782142
Assam,Bechamari,782123
Assam,Beltola,782425
Assam,Bengenaati,782137
Assam,Bhalukmari,782442
Assam,Bharidhua,782120
Assam,Bheleoghat,782441
Assam,Bheleoguri,782140
Assam,Bhomoraguri,782143
Assam,Bhomoraguri,782103
Assam,Bhuragaon,782121
Assam,Bhurbandha,782104
Assam,Biharigaon,782101
Assam,Bihlangani,782002
Assam,Biorbheti Dhing,782123
Assam,Biswanathpathar,782441
Assam,Bobilgaon,782481
Assam,Bogijan,782490
Assam,Bokajan C F,782490
Assam,Bokajan,782480
Assam,Borbali,782481
Assam,Borbheti,782122
Assam,Borboha,782442
Assam,Borghuli,782143
Assam,Borghuli Sapmar,782120
Assam,Borkola,782144
Assam,Borthal,782485
Assam,Buraburi,782411
Assam,Burapahar,782136
Assam,Burgaon,782411
Assam,Burhachaparigao,782120
Assam,Chabukdhara,782103
Assam,Chakalaghat,782142
Assam,Chakihola,782480
Assam,Chakitop,782140
Assam,Chalapathar,782122
Assam,Chalchali,782141
Assam,Chamuagaon,782123
Assam,Changmaji,782440
Assam,Chapanalla,782135
Assam,Chaparmukh,782425
Assam,Charaibahi,782106
Assam,Charing,782439
Assam,Chatabar,782103
Assam,Cherakani,782441
Assam,Chetwaikhaitee,782127
Assam,Chillangani,782002
Assam,Chitalmari Beel,782124
Assam,Chottahaibor,782003
Assam,Choudhury Bazar,782439
Assam,Daboka,782440
Assam,Dagaon,782124
Assam,Dakarghat,782003
Assam,Dakhin Beloguri,782120
Assam,Dakhin Dighalipar,782481
Assam,Dakhin Sangchaki,782426
Assam,Daldali,782470
Assam,Damal,782105
Assam,Danghap,782441
Assam,Datialbori,782126
Assam,Dayang Beloguri,782410
Assam,Dayangmukh,782448
Assam,Debasthan Bazar,782481
Assam,Debnarikoli,782426
Assam,Deihari,782490
Assam,Deithor,782480
Assam,Dentaghat,782441
Assam,Deopani,782470
Assam,Deorigaon,782460
Assam,Deosal,782410
Assam,Derapathar,782446
Assam,Dewaguri,782127
Assam,Dewanbasti,782462
Assam,Dhaniabheti,782122
Assam,Dhansripar,782470
Assam,Dharamtul,782412
Assam,Dhing Bazar,782123
Assam,Dhing,782123
Assam,Dhupaguri,782123
Assam,Dighalbori,782105
Assam,Dighaldori,782103
Assam,Dighali,782125
Assam,Dighaliati,782103
Assam,Dighaljar,782439
Assam,Dilaji,782462
Assam,Dillai,782480
Assam,Dillai Parbat,782480
Assam,Dimaruguri,782003
Assam,Dimrupar,782435
Assam,Diphu Bazar,782462
Assam,Diphu Govt College,782462
Assam,Diphu,782460
Assam,Disama,782462
Assam,Disobai,782482
Assam,Dokmaka,782441
Assam,Doloichuba,782105
Assam,Doloigaon,782126
Assam,Dongarbori,782410
Assam,Donkamokam,782485
Assam,Duarbamuni,782441
Assam,Dumaihagi Dapara,782428
Assam,Dumkura Bazar,782127
Assam,Dungarpar,782121
Assam,Dwajungphang,782470
Assam,Eradighalpani,782481
Assam,Fakali Pathar,782124
Assam,Falihamari Pathar,782127
Assam,Forest Bazar,782448
Assam,Fulaguri,782103
Assam,Fultoli Bazar,782446
Assam,Gagalmari,782121
Assam,Gakhajua,782142
Assam,Gandhibori,782103
Assam,Garajan Bazar,782128
Assam,Garukhunda,782428
Assam,Garukhuti,782103
Assam,Gaspara,782425
Assam,Gatonga,782125
Assam,Gautambasti,782480
Assam,Gerjaipam,782426
Assam,Geruaati Bazar,782140
Assam,Geruagaon,782121
Assam,Ghagua,782105
Assam,Ghahibhatikuri,782460
Assam,Ghehua Chalchali,782128
Assam,Ghilani,782426
Assam,Golaghatiabasti,782435
Assam,Golaibasti,782480
Assam,Gopalnagar,782435
Assam,Goroimari,782104
Assam,Goroimaripathar,782126
Assam,Gosaibori,782142
Assam,Gosaigaon,782446
Assam,Habibarangabari,782103
Assam,Hahcharagaon,782126
Assam,Haiborgaon,782002
Assam,Haloakanda,782121
Assam,Halowagaon,782141
Assam,Hamren,782486
Assam,Hariamukh,782103
Assam,Harlongpher,782447
Assam,Hatbor,782136
Assam,Hatiamukh,782411
Assam,Hatichung,782142
Assam,Hatipara,782003
Assam,Hatipukhuri,782125
Assam,Hatizuzua,782122
Assam,Hatlaokhowa,782120
Assam,Hawaipur,782446
Assam,Herapatty,782002
Assam,Hidibonglong,782481
Assam,Hidipi,782480
Assam,Hindu Block,782440
Assam,Hoj R S,782435
Assam,Hojai Bazar,782435
Assam,Hojai,782435
Assam,Honkram,782450
Assam,Honlokrok,782485
Assam,Howraghat,782481
Assam,Huzrangagarah,782002
Assam,Itachali,782003
Assam,Jagi,782411
Assam,Jagibhakatgaon,782411
Assam,Jagiroad,782410
Assam,Jajori,782142
Assam,Jakhalabandha,782136
Assam,Jalakiabari,782127
Assam,Jaljuri,782485
Assam,Jaluguti,782104
Assam,Jamuguri,782142
Assam,Jamunamukh,782428
Assam,Japrajan,782470
Assam,Jengani,782122
Assam,Jengkha,782448
Assam,Jhargaon,782411
Assam,Jirikinding,782448
Assam,Jogijan Bazar,782429
Assam,Jongpha,782490
Assam,Joynagar Madrassa,782445
Assam,Jumurmur,782427
Assam,Jungl Block,782428
Assam,Jurapukhuri,782442
Assam,Juria,782124
Assam,Jurirpar,782426
Assam,Kachadhara Nakhanda,782104
Assam,Kachamari Boragaon,782002
Assam,Kachua,782426
Assam,Kachupukhuri,782482
Assam,Kadomoni,782122
Assam,Kagajnagar,782413
Assam,Kailajan,782480
Assam,Kajesara Matikhola,782441
Assam,Kakatigaon,782425
Assam,Kakhorigaon,782141
Assam,Kaki,782446
Assam,Kaki Chalchali,782442
Assam,Kalanga,782485
Assam,Kaliadinga,782128
Assam,Kalongpar Halowagaon,782141
Assam,Kampur,782426
Assam,Kanchanpur,782125
Assam,Kandali,782102
Assam,Kandhulimari,782123
Assam,Kapahera,782103
Assam,Kapashbari,782445
Assam,Karagaon,782480
Assam,Karatipam,782105
Assam,Karayani,782439
Assam,Kashari,782124
Assam,Katanigaon,782127
Assam,Kathalguri,782135
Assam,Kathiatoli,782427
Assam,Kathpara Bazar,782120
Assam,Kathterongaon,782136
Assam,Kawaimari,782140
Assam,Khaigarh,782103
Assam,Khanduli,782486
Assam,Khaplangkuchi,782103
Assam,Kharikhana,782446
Assam,Khatkhati,782480
Assam,Khengergaon,782447
Assam,Kheroni,782448
Assam,Kheronigaon,782461
Assam,Khulagaon,782411
Assam,Khutikatia,782002
Assam,Killing Valley,782410
Assam,Komoraguri,782105
Assam,Komorakata,782435
Assam,Koroiguri,782440
Assam,Kuligaon,782480
Assam,Kumargaon,782125
Assam,Kuranibori,782411
Assam,Kurhimari,782143
Assam,Kuthori,782136
Assam,Kuworitul,782137
Assam,Lachit Pathar,782446
Assam,Laharijan,782480
Assam,Lahorighat,782127
Assam,Lailuri,782120
Assam,Lalunggaon,782122
Assam,Lamsakhang,782446
Assam,Langbangdingpi,782482
Assam,Langcholiet,782447
Assam,Langhin Manikpur,782441
Assam,Langhin Tiniali,782441
Assam,Langlakso,782441
Assam,Lanka Nagaon,782446
Assam,Lankeswarigrant,782446
Assam,Laopani,782425
Assam,Laskarpathar,782446
Assam,Lengeribori,782121
Assam,Leteripar Bazar,782124
Assam,Lochanabori,782126
Assam,Longnit,782461
Assam,Lorenthepi,782482
Assam,Lumding Bazar,782447
Assam,Lumding,782447
Assam,Lurulangso,782462
Assam,Madhupur,782003
Assam,Magurmari,782140
Assam,Mahendijua,782461
Assam,Mailoo Bazar,782446
Assam,Mainapur Bazar,782446
Assam,Majarati,782002
Assam,Majgaon,782142
Assam,Majpathori,782003
Assam,Manaha Kacharigaon,782411
Assam,Manipur,782105
Assam,Manja,782461
Assam,Marangialgaon,782141
Assam,Mayang Kamarpur,782411
Assam,Menmeji,782435
Assam,Mikirbheta,782001
Assam,Missa,782138
Assam,Mithapukhuripar,782124
Assam,Modertoli,782440
Assam,Mohkhuli,782003
Assam,Moirabari,782126
Assam,Molankata,782103
Assam,Morakordoiguri,782480
Assam,Morigaon,782105
Assam,Mowamari,782140
Assam,Murazar Bazar,782439
Assam,Nagabandha,782103
Assam,Nagaon Girls College,782001
Assam,Nagaon,782001
Assam,Nagaon Padel,782003
Assam,Nailalung,782447
Assam,Nakhuti Bazar,782446
Assam,Nandapur Chariali,782435
Assam,Natuagaon,782105
Assam,Natun Bangalbori,782411
Assam,Nellie,782410
Assam,Neparpatty,782470
Assam,Nibukali,782102
Assam,Nilbagan,782445
Assam,Nizdandua,782104
Assam,Niz Dhing,782123
Assam,Niz Narikoli,782426
Assam,No 1 Gayangaon,782126
Assam,Nonoi,782101
Assam,Okrang,782481
Assam,Oper Uzaragaon,782101
Assam,Padumoni,782140
Assam,Padumpukhuri,782441
Assam,Padumpukhuri,782435
Assam,Paharguri,782450
Assam,Palakamati,782481
Assam,Palasani,782003
Assam,Panditghat,782481
Assam,Panjaborpathar,782450
Assam,Panjuri,782441
Assam,Parakhowa Bazar,782441
Assam,Parkup Pahar,782135
Assam,Pathori,782003
Assam,Patiachapari,782122
Assam,Patiapam,782426
Assam,Patidaya,782104
Assam,Patrabori,782104
Assam,Patsari,782410
Assam,Patuakata,782104
Assam,Phanglangso,782462
Assam,Phangtrengphang,782485
Assam,Phulani,782441
Assam,Pipal Pukhuri,782446
Assam,Potani Gomothagaon,782102
Assam,Pub Amarakanda,782125
Assam,Pub Baralimari,782124
Assam,Pub Futaljar,782128
Assam,Pub Lumding Bazar,782447
Assam,Pub Silputa,782482
Assam,Pubguimari,782425
Assam,Pubsalpara,782125
Assam,Pubthoria,782137
Assam,Pukarkata,782121
Assam,Purana Kaki,782442
Assam,Puranigudam,782141
Assam,Puthikhaiti,782125
Assam,Puthimari Bazar,782426
Assam,Radhanagar,782429
Assam,Raha,782103
Assam,Rahagaon,782103
Assam,Raja Mayang,782411
Assam,Rajapathar,782481
Assam,Ramjanati,782103
Assam,Rangagarah,782140
Assam,Rangapahar Siding,782470
Assam,Rantholi,782101
Assam,Rengbeng,782427
Assam,Rengkimi Village,782462
Assam,Rongkhelon,782462
Assam,Rongkut,782481
Assam,Rongplimplam,782461
Assam,Rowmari,782125
Assam,Rowmari Bill,782123
Assam,Rupahi,782125
Assam,Sagunbahipathar,782126
Assam,Sahariagaon,782126
Assam,Saidoria,782125
Assam,Salana,782139
Assam,Salkati Pathar,782126
Assam,Salmora,782425
Assam,Samaguri Bazar,782482
Assam,Samaguri,782140
Assam,Samarail,782439
Assam,Sambari Dagaon,782446
Assam,Samelangso,782441
Assam,Sandahkhaiti,782121
Assam,Sangsiga Bazar,782448
Assam,Sankardev Nagar,782442
Assam,Sankarpur,782446
Assam,Sapmarigaon,782104
Assam,Saragaon,782103
Assam,Sarihajan,782480
Assam,Sarishabari,782139
Assam,Sarubori,782105
Assam,Satgaon,782485
Assam,Satiantoli,782127
Assam,Satlanga,782426
Assam,Seconee Borhola,782136
Assam,Senchowa,782002
Assam,Shyampathar,782482
Assam,Sibasthan,782140
Assam,Sibpur,782429
Assam,Silchung,782412
Assam,Sildharampur,782441
Assam,Silghat,782143
Assam,Siliguri,782435
Assam,Silpukhuri,782123
Assam,Silputa Tiniali,782482
Assam,Simaluguri,782426
Assam,Singari Madrassa,782124
Assam,Singaribasti,782435
Assam,Singia,782140
Assam,Singimari,782125
Assam,Solmari,782002
Assam,Solmari Mikirgaon,782104
Assam,Sologuri,782123
Assam,Sonarigaon,782143
Assam,Sonarigaon,782123
Assam,Sondoba,782121
Assam,Sukdal Sarubori,782104
Assam,Sutirpar,782124
Assam,Tarabari,782125
Assam,Tarabasa,782482
Assam,Tarabori Kalsila Satra,782104
Assam,Taradubi,782485
Assam,Taralangso No 1,782447
Assam,Teliabebejia,782124
Assam,Teliachapari,782125
Assam,Teliagaon,782141
